"gi.rank","country","gii","abr","repre_parl","sedu_f","sedu_m","lab_f","lab_m","NA.x","sedu_rat","lab_rat","hdi.rank","hdi","liexp","edu","gni","gni-hdi","NA.y"
145,"Nepal",0.489,190,73.7,29.5,17.7,38.2,79.9,87.1,1.66666666666667,0.478097622027534,145,0.548,69.6,12.4,3.3,"2,311",16
147,"Pakistan",0.536,170,27.3,19.7,19.3,46.1,24.6,82.9,1.02072538860104,1.8739837398374,147,0.538,66.2,7.8,4.7,"4,866",-14
148,"Myanmar",0.413,200,12.1,4.7,22.9,15.3,75.2,82.3,0.205240174672489,0.203457446808511,148,0.536,65.9,8.6,4.1,"4,608",-12
149,"Angola",NA,460,170.2,36.8,NA,NA,63.3,76.9,NA,NA,149,0.532,52.3,11.4,4.7,"6,822",-30
150,"Swaziland",0.557,310,72,14.7,21.9,26,43.9,71.6,0.671232876712329,0.592255125284738,150,0.531,49,11.3,7.1,"5,542",-25
151,"Tanzania (United Republic of)",0.547,410,122.7,36,5.6,9.5,88.1,90.2,6.42857142857143,0.10783200908059,151,0.521,65,9.2,5.1,"2,411",8
152,"Nigeria",NA,560,119.6,6.6,NA,NA,48.2,63.7,NA,NA,152,0.514,52.8,9,5.9,"5,341",-24
153,"Cameroon",0.587,590,115.8,27.1,21.3,34.9,63.8,76.8,1.27230046948357,0.547021943573668,153,0.512,55.5,10.4,6,"2,803",-1
154,"Madagascar",NA,440,122.8,20.5,NA,NA,86.6,90.5,NA,NA,154,0.51,65.1,10.3,6,"1,328",24
155,"Zimbabwe",0.504,470,60.3,35.1,48.7,62,83.2,89.7,0.720739219712526,0.745192307692308,155,0.509,57.5,10.9,7.3,"1,615",13
156,"Mauritania",0.61,320,73.3,22.2,8.3,20.9,28.7,79.1,2.67469879518072,0.728222996515679,156,0.506,63.1,8.5,3.8,"3,560",-14
156,"Solomon Islands",NA,130,64.9,2,NA,NA,53.4,79,NA,NA,156,0.506,67.9,9.2,5,"1,540",16
158,"Papua New Guinea",0.611,220,62.1,2.7,7.6,14.5,70.5,74,0.355263157894737,0.205673758865248,158,0.505,62.6,9.9,4,"2,463",-1
159,"Comoros",NA,350,51.1,3,NA,NA,35.2,80.1,NA,NA,159,0.503,63.3,11.5,4.6,"1,456",16
